Date,NASDAQ,Inflation_Rate
7/8/2013,3654.01001,233.456
8/8/2013,3669.120117,233.456
9/8/2013,3660.110107,233.456
10/8/2013,,233.456
11/8/2013,,233.456
12/8/2013,3669.949951,233.456
13/8/2013,3684.439941,233.456
14/8/2013,3669.27002,233.456
15/8/2013,3606.120117,233.456
16/8/2013,3602.780029,233.456
17/8/2013,,233.456
18/8/2013,,233.456
19/8/2013,3589.090088,233.456
20/8/2013,3613.590088,233.456
21/8/2013,3599.790039,233.456
22/8/2013,3638.709961,233.456
23/8/2013,3657.790039,233.456
24/8/2013,,233.456
25/8/2013,,233.456
26/8/2013,3657.570068,233.456
27/8/2013,3578.52002,233.456
28/8/2013,3593.350098,233.456
29/8/2013,3620.300049,233.456
30/8/2013,3589.870117,233.456
31/8/2013,,233.456
1/9/2013,,233.544
2/9/2013,,233.544
3/9/2013,3612.610107,233.544
4/9/2013,3649.040039,233.544
5/9/2013,3658.780029,233.544
6/9/2013,3660.01001,233.544
7/9/2013,,233.544
8/9/2013,,233.544
9/9/2013,3706.179932,233.544
10/9/2013,3729.02002,233.544
11/9/2013,3725.01001,233.544
12/9/2013,3715.969971,233.544
13/9/2013,3722.179932,233.544
14/9/2013,,233.544
15/9/2013,,233.544
16/9/2013,3717.850098,233.544
17/9/2013,3745.699951,233.544
18/9/2013,3783.639893,233.544
19/9/2013,3789.379883,233.544
20/9/2013,3774.72998,233.544
21/9/2013,,233.544
22/9/2013,,233.544
23/9/2013,3765.290039,233.544
24/9/2013,3768.25,233.544
25/9/2013,3761.100098,233.544
26/9/2013,3787.429932,233.544
27/9/2013,3781.590088,233.544
28/9/2013,,233.544
29/9/2013,,233.544
30/9/2013,3771.47998,233.544
1/10/2013,3817.97998,233.669
2/10/2013,3815.02002,233.669
3/10/2013,3774.340088,233.669
4/10/2013,3807.75,233.669
5/10/2013,,233.669
6/10/2013,,233.669
7/10/2013,3770.379883,233.669
8/10/2013,3694.830078,233.669
9/10/2013,3677.780029,233.669
10/10/2013,3760.75,233.669
11/10/2013,3791.870117,233.669
12/10/2013,,233.669
13/10/2013,,233.669
14/10/2013,3815.280029,233.669
15/10/2013,3794.01001,233.669
16/10/2013,3839.429932,233.669
17/10/2013,3863.149902,233.669
18/10/2013,3914.280029,233.669
19/10/2013,,233.669
20/10/2013,,233.669
21/10/2013,3920.050049,233.669
